composants,quantités ,description,Valeurs,Achats
STM32L476RGTX,1,Microcontroleur,,oui
Quartz,1,,"13,56 Mhz",oui
Résistance Rv WH50-3K3JI,1,,2.2 kOhm,oui
bobine 784770,1,,1 uH,non
Condensateur CL10B104KB8NNNC,7,,100 nF,non
USBLC6-2SC6,1,,,non
HRTC110,1,Lecteur RFID,,oui
"quartz ABLS-7.3728MHZ-20-B-3-H-T
",2,,22 pF,oui
Condensateur EPCOS B32021,1,,"1,5 nF",oui
Condensateur 885012205067,1,,10 uF,non
Switch MN18ES1G40,,,,oui
power supply BU33SD5WG-TR,1,,,non
Condensateur MKP1848E51013JI2,3,,1 uF,non
Condensateur 885012205067,1,,10 nF,non
Condensateur MAL215296475E3,1,,"4,7 uF",non
Connector,,,,
